Linux 6.5.0-1025-azure (codespaces-6c8ec7) 	10/27/24 	_x86_64_	(16 CPU)

02:16:44      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:16:45     1000     13392   85.00   15.00    0.00    0.00  100.00     6  a.out
02:16:46     1000     13392   86.00   14.00    0.00    0.00  100.00     6  a.out
02:16:47     1000     13392   84.00   15.00    0.00    0.00   99.00     7  a.out
02:16:48     1000     13392   83.00   18.00    0.00    0.00  101.00     7  a.out
02:16:49     1000     13392   86.00   14.00    0.00    0.00  100.00     7  a.out
02:16:50     1000     13392  100.00    0.00    0.00    0.00  100.00     7  a.out
02:16:51     1000     13392  100.00    0.00    0.00    0.00  100.00     7  a.out
02:16:52     1000     13392  100.00    0.00    0.00    0.00  100.00     7  a.out
02:16:53     1000     13392  100.00    0.00    0.00    0.00  100.00     7  a.out
02:16:54     1000     13392  100.00    0.00    0.00    0.00  100.00     7  a.out
02:16:55     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
02:16:56     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
02:16:57     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
02:16:58     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
02:16:59     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
02:17:00     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
02:17:01     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
02:17:02     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
02:17:03     1000     13392  100.00    0.00    0.00    0.00  100.00     6  a.out
